bloque,nombre,regimen,estatus,plan_o_programa,periodo_de_asignacion,ano,actividad,unidad,planeado,ejercido
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,275.14882,58.337026
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2018,GASTOS OPERACION,MMUSD,59.949148,57.996126
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2018,INVERSION,MMUSD,300.213362,93.325034
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2019,GASTOS OPERACION,MMUSD,64.251271,59.819383
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2019,INVERSION,MMUSD,298.810496,85.332707
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2020,GASTOS OPERACION,MMUSD,61.445539,22.968383
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2020,INVERSION,MMUSD,214.545001,78.365013
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2021,GASTOS OPERACION,MMUSD,37.61008,20.915755
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2021,INVERSION,MMUSD,65.82041,72.318199
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2022,GASTOS OPERACION,MMUSD,49.488033,19.633729
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2022,INVERSION,MMUSD,103.470956,72.336716
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2023,GASTOS OPERACION,MMUSD,9.668236,26.969926
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2023,INVERSION,MMUSD,49.023173,70.684233
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2024,GASTOS OPERACION,MMUSD,17.180175,18.438293
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2024,INVERSION,MMUSD,107.544084,28.962744
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2025,GASTOS OPERACION,MMUSD,18.263338,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2025,INVERSION,MMUSD,127.773163,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2026,GASTOS OPERACION,MMUSD,29.395851,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2026,INVERSION,MMUSD,144.451874,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2027,GASTOS OPERACION,MMUSD,45.683419,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2027,INVERSION,MMUSD,196.53398,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2028,GASTOS OPERACION,MMUSD,64.779189,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2028,INVERSION,MMUSD,204.567442,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2029,GASTOS OPERACION,MMUSD,87.254829,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2029,INVERSION,MMUSD,216.522357,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2030,GASTOS OPERACION,MMUSD,98.447517,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2030,INVERSION,MMUSD,212.620962,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2031,GASTOS OPERACION,MMUSD,102.870435,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2031,INVERSION,MMUSD,231.024711,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2032,GASTOS OPERACION,MMUSD,117.252437,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2032,INVERSION,MMUSD,227.21358,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2033,GASTOS OPERACION,MMUSD,116.07901,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2033,INVERSION,MMUSD,187.457472,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2034,GASTOS OPERACION,MMUSD,110.883838,
A-0004,A-0004-5M - Campo Agua Fria,Asignacion,Vigente,Extraccion,nan,2034,INVERSION,MMUSD,336.974466,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,3.366879,15.675089
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,6.920806,2.129463
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,2.899257,13.684522
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,2.899257,0.972089
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,2.244586,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,11.784076,0.809768
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2018,GASTOS OPERACION,MMUSD,1.964013,0.02619
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2018,INVERSION,MMUSD,2.992781,2.69671
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2019,GASTOS OPERACION,MMUSD,1.402866,0.007492
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2019,INVERSION,MMUSD,1.028769,3.884174
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2020,GASTOS OPERACION,MMUSD,0.935244,0.022431
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2020,INVERSION,MMUSD,0.748195,1.854379
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2021,GASTOS OPERACION,MMUSD,0.843488,0.003883
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2021,INVERSION,MMUSD,0.748195,1.241555
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2022,GASTOS OPERACION,MMUSD,0.467622,-0.000766
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2022,INVERSION,MMUSD,0.84172,0.937539
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2023,GASTOS OPERACION,MMUSD,0.374098,0.01605
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2023,INVERSION,MMUSD,0.748195,2.512391
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2024,GASTOS OPERACION,MMUSD,0.280573,0.226616
